name,url,image,audience score,price,pace,arch support,weight lab weight brand,lightweight,drop lab drop brand,strike pattern,midsole softness,difference in midsole softness in cold,toebox durability,heel padding durability,outsole durability,breathability,heel stack,forefoot stack,drop,flexibility / stiffness (new method),flexibility / stiffness (old method),brand,audience_score,price_usd,drop_mm,weight,weight_grams,trail terrain,heel stack lab heel stack brand,midsole width - forefoot,midsole width - heel,outsole thickness,weight (g),drop (mm),flexibility of the shoe (n),flexibility of the shoe (freezer 20 min) (n),flexibility of the shoe (% of change),"longitudinal flexibility (1-5 scale, 5 being the stiffest)","torsional flexibility (1-5 scale, 5 being the stiffest)",flexibility of the shoe (freezer 1 hour) (n),"longitudinal flexibility (on a 0-5 scale, 0 being the stiffest)","torsional flexibility (on a 0-5 scale, 0 being the stiffest)",agility and responsiveness,outsole hardness,fuelcell supercomp pacer v2
Hoka Clifton 9 GTX,https://runrepeat.com/hoka-clifton-9-gtx,https://cdn.runrepeat.com/storage/gallery/product_primary/40221/hoka-clifton-9-gtx-2-21208097-720.jpg,87 Great!,$160,Daily running,Neutral,9.6 oz / 271g 9.6 oz / 272g,,8.6 mm 5.0 mm,HeelMid/forefoot,23.9 HA,Small,Good,Good,Good,Moderate,37.2 mm,28.6 mm,8.6 mm,22.4N,29.4N,HOKA,87,160.0,8.6,9.6 oz (271g),271.0,,,,,,,,,,,,,,,,,,
ASICS Megablast,https://runrepeat.com/asics-megablast,https://cdn.runrepeat.com/storage/gallery/product_primary/40948/asics-megablast-23653319-720.jpg,82 Good!,$225,CompetitionTempo,Neutral,7.7 oz / 218g 7.9 oz / 224g,✓,9.9 mm 8.0 mm,HeelMid/forefoot,15.5 HA,Small,Bad,Good,Good,Moderate,45.1 mm,35.2 mm,9.9 mm,18.8N,,ASICS,82,225.0,9.9,7.7 oz (218g),218.0,,,,,,,,,,,,,,,,,,
Saucony Endorphin Speed 5,https://runrepeat.com/saucony-endorphin-speed-5,https://cdn.runrepeat.com/storage/gallery/product_primary/40830/saucony-endorphin-speed-5-23261039-720.jpg,81 Good!,$175,Tempo,Neutral,8.5 oz / 241g 8.4 oz / 238g,✓,10.6 mm 8.0 mm,Heel,18.5 HA,Normal,Decent,Good,Good,Breathable,37.4 mm,26.8 mm,10.6 mm,12.9N,,Saucony,81,175.0,10.6,8.5 oz (241g),241.0,,,,,,,,,,,,,,,,,,
ASICS Trabuco Max 2,https://runrepeat.com/asics-trabuco-max-2,https://cdn.runrepeat.com/storage/gallery/product_primary/40218/asics-trabuco-max-2-21193120-720.jpg,93 Superb!,$150,,Neutral,10.3 oz / 292g 10.7 oz / 303g,,8.5 mm 5.0 mm,HeelMid/forefoot,17.6 HA,Big,Decent,Good,Decent,Breathable,39.7 mm,31.2 mm,8.5 mm,,29.9N,ASICS,93,150.0,8.5,10.3 oz (292g),292.0,ModerateTechnical,39.7 mm 43.0 mm,,,,,,,,,,,,,,,,
Salomon XA Pro 3D v9 GTX,https://runrepeat.com/salomon-xa-pro-3d-v9-gtx,https://cdn.runrepeat.com/storage/gallery/product_primary/39989/salomon-xa-pro-3-d-v-9-gtx-orimary-21231054-720.jpg,83 Good!,$160,,Stability,12.7 oz / 359g 12.7 oz / 360g,,13.5 mm 11.0 mm,Heel,32.5 HA,Small,Very good,Decent,Good,Warm,33.5 mm,20.0 mm,13.5 mm,20.6N,24.7N,Salomon,83,160.0,13.5,,,LightModerate,33.5 mm,,,,,,,,,,,,,,,,
On Cloudstratus 3,https://runrepeat.com/on-cloudstratus-3,https://cdn.runrepeat.com/storage/gallery/product_primary/40188/on-cloudstratus-3-21216746-720.jpg,90 Great!,$180,Daily running,Neutral,10.4 oz / 296g 10.3 oz / 292g,✗,9.1 mm 6.0 mm,HeelMid/forefoot,27.6 HA,Normal,Decent,Good,Good,Moderate,35.3 mm,26.2 mm,9.1 mm,17.6N,25.1N,On,90,180.0,9.1,,,,,,,,,,,,,,,,,,,,
Adidas Adizero SL2,https://runrepeat.com/adidas-adizero-sl2,https://cdn.runrepeat.com/storage/gallery/product_primary/40384/adidas-adizero-sl-2-21915926-720.jpg,90 Great!,$130,Daily runningTempo,Neutral,8.6 oz / 245g 8.4 oz / 238g,✓,8.2 mm 9.0 mm,HeelMid/forefoot,20.1 HA,Small,Bad,Good,Decent,Breathable,34.9 mm,26.7 mm,8.2 mm,12.7N,22.8N,Adidas,90,130.0,8.2,,,,,,,,,,,,,,,,,,,,
ASICS Magic Speed,https://runrepeat.com/asics-magic-speed,https://cdn.runrepeat.com/storage/gallery/product_primary/37141/asics-magic-speed-hero-2-15915112-720.jpg,90 Great!,$150,Tempo,Neutral,8.2 oz / 233g 7.9 oz / 224g,✓,8.3 mm 5.0 mm,HeelMid/forefoot,20.5 HA,Small,-,-,-,Breathable,32.5 mm,24.2 mm,8.3 mm,,48.0N,ASICS,90,150.0,8.3,8.2 oz (233g),233.0,,,,,,,,,,,,,,,,,,
Brooks Cascadia 18,https://runrepeat.com/brooks-cascadia-18,https://cdn.runrepeat.com/storage/gallery/product_primary/40458/brooks-cascadia-18-22175442-720.jpg,86 Good!,$140,,Neutral,10.9 oz / 310g 11.1 oz / 314g,,8.8 mm 8.0 mm,HeelMid/forefoot,27.5 HA,Small,Very bad,Decent,Decent,Moderate,32.6 mm,23.8 mm,8.8 mm,17.3N,26.5N,Brooks,86,140.0,8.8,,,LightModerate,32.6 mm 33.0 mm,,,,,,,,,,,,,,,,
Brooks Hyperion Tempo,https://runrepeat.com/brooks-hyperion-tempo,https://cdn.runrepeat.com/storage/gallery/product_primary/34761/brooks-hyperion-tempo-21189522-720.jpg,89 Great!,$150,Tempo,Neutral,7 oz / 198g 7 oz / 199g,✓,9.0 mm 8.0 mm,HeelMid/forefoot,22.3 HA,Small,Good,Decent,Good,Moderate,28.7 mm,19.7 mm,9.0 mm,7.7N,12.8N,Brooks,89,150.0,9.0,,,,,,,,,,,,,,,,,,,,
